iter	Passed	Remaining
0	9	4843
1	18	4529
2	26	4347
3	35	4345
4	44	4374
5	53	4394
6	62	4410
7	71	4398
8	80	4399
9	89	4375
10	98	4370
11	107	4362
12	116	4353
13	125	4345
14	134	4356
15	143	4354
16	152	4344
17	162	4341
18	170	4328
19	180	4321
20	189	4322
21	198	4317
22	208	4318
23	217	4304
24	225	4288
25	234	4276
26	243	4270
27	252	4257
28	261	4244
29	270	4231
30	278	4218
31	287	4209
32	296	4201
33	305	4190
34	314	4180
35	323	4174
36	332	4161
37	341	4150
38	351	4149
39	360	4143
40	369	4136
41	378	4125
42	387	4116
43	396	4111
44	405	4103
45	414	4093
46	423	4083
47	432	4076
48	441	4061
49	450	4051
50	459	4046
51	468	4038
52	477	4029
53	486	4021
54	495	4012
55	504	4000
56	513	3991
57	522	3982
58	531	3974
59	540	3963
60	549	3956
61	558	3946
62	567	3935
63	576	3927
64	585	3917
65	594	3908
66	603	3898
67	611	3887
68	620	3878
69	629	3867
70	638	3857
71	647	3850
72	656	3841
73	666	3834
74	674	3824
75	683	3815
76	693	3808
77	702	3799
78	711	3790
79	719	3779
80	728	3770
81	737	3760
82	747	3753
83	755	3743
84	765	3735
85	774	3726
86	782	3716
87	792	3709
88	801	3703
89	812	3699
90	821	3694
91	831	3685
92	839	3675
93	848	3664
94	857	3655
95	866	3647
96	875	3638
97	884	3627
98	893	3618
99	902	3610
100	911	3602
101	920	3592
102	929	3581
103	937	3571
104	949	3571
105	962	3575
106	974	3577
107	984	3573
108	995	3572
109	1005	3563
110	1014	3553
111	1023	3544
112	1031	3534
113	1040	3523
114	1049	3512
115	1057	3502
116	1067	3494
117	1076	3485
118	1085	3474
119	1094	3465
120	1104	3458
121	1112	3447
122	1121	3438
123	1131	3429
124	1140	3421
125	1149	3412
126	1158	3402
127	1167	3393
128	1176	3383
129	1185	3374
130	1195	3366
131	1204	3357
132	1213	3348
133	1223	3341
134	1232	3331
135	1241	3321
136	1250	3312
137	1258	3301
138	1267	3292
139	1276	3282
140	1285	3273
141	1293	3262
142	1303	3253
143	1312	3245
144	1321	3234
145	1330	3225
146	1339	3216
147	1348	3206
148	1357	3197
149	1366	3188
150	1375	3179
151	1385	3171
152	1394	3161
153	1403	3153
154	1412	3144
155	1422	3136
156	1431	3126
157	1440	3117
158	1449	3108
159	1458	3099
160	1467	3090
161	1476	3081
162	1485	3071
163	1493	3060
164	1502	3051
165	1512	3042
166	1521	3033
167	1530	3024
168	1539	3015
169	1548	3005
170	1557	2996
171	1567	2988
172	1576	2980
173	1585	2970
174	1594	2962
175	1603	2952
176	1612	2943
177	1622	2934
178	1631	2926
179	1640	2917
180	1649	2907
181	1658	2897
182	1667	2888
183	1676	2879
184	1685	2869
185	1694	2861
186	1703	2851
187	1712	2841
188	1721	2832
189	1730	2823
190	1739	2814
191	1748	2805
192	1757	2796
193	1766	2786
194	1775	2777
195	1784	2767
196	1793	2758
197	1802	2749
198	1810	2739
199	1820	2730
200	1829	2721
201	1839	2713
202	1848	2704
203	1857	2695
204	1867	2687
205	1876	2678
206	1885	2669
207	1894	2659
208	1903	2650
209	1912	2640
210	1921	2631
211	1930	2622
212	1939	2613
213	1948	2603
214	1958	2595
215	1968	2587
216	1977	2578
217	1986	2569
218	1994	2559
